student_id,test_id,question_id,subject,topic,subtopic,difficulty_level,is_correct,time_taken,topic_weightage
S002,T101,Q001,Physics,Mechanics,Newton's Laws,hard,1,118,high
S002,T101,Q002,Physics,Mechanics,Kinematics,medium,1,90,high
S002,T101,Q003,Physics,Mechanics,Work and Energy,easy,1,62,high
S002,T101,Q004,Physics,Optics,Refraction,medium,0,112,low
S002,T101,Q005,Physics,Optics,Reflection,easy,1,70,low
S002,T101,Q006,Physics,Thermodynamics,Heat Transfer,hard,0,148,high
S002,T101,Q007,Physics,Thermodynamics,Thermal Expansion,medium,1,96,high
S002,T101,Q008,Physics,Electromagnetism,Current Electricity,hard,1,130,high
S002,T101,Q009,Physics,Electromagnetism,Magnetic Effects,medium,0,116,high
S002,T101,Q010,Physics,Modern Physics,Photoelectric Effect,easy,1,68,low
S002,T102,Q011,Physics,Mechanics,Projectile Motion,hard,1,126,high
S002,T102,Q012,Physics,Mechanics,Circular Motion,medium,1,92,high
S002,T102,Q013,Physics,Optics,Lens Formula,hard,0,135,low
S002,T102,Q014,Physics,Optics,Optical Instruments,medium,1,98,low
S002,T102,Q015,Physics,Thermodynamics,First Law of Thermodynamics,hard,1,129,high
S002,T102,Q016,Physics,Thermodynamics,Calorimetry,easy,1,66,high
S002,T102,Q017,Physics,Electromagnetism,Ohm's Law,easy,1,60,high
S002,T102,Q018,Physics,Electromagnetism,Kirchhoff's Laws,hard,0,142,high
S002,T102,Q019,Physics,Modern Physics,Atomic Models,medium,1,88,low
S002,T102,Q020,Physics,Modern Physics,Nuclear Physics,hard,0,146,low
